Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
08:23.2,0.13,0.41,-0.69,-1,40,0.32,0
08:23.3,0.12,0.41,-0.68,-1,40,0.32,0
08:23.3,0.12,0.41,-0.68,-1,40,0.32,0
08:23.3,0.12,0.42,-0.69,-1,40,0.32,0
08:23.3,0.12,0.42,-0.67,-1,40,0.32,0
08:23.4,0.13,0.42,-0.68,-1,40,0.32,0
08:23.4,0.14,0.42,-0.68,-1,40,0.32,0
08:23.4,0.16,0.36,-0.66,-1,40,0.321,0
08:23.5,0.13,0.43,-0.69,-1,40.2,0.32,0
08:23.5,0.13,0.43,-0.68,-1,40,0.32,0
08:23.5,0.13,0.42,-0.67,-1,40,0.32,0
08:23.6,0.15,0.42,-0.68,-1,40.2,0.32,0
08:23.6,0.15,0.4,-0.67,-1,40.2,0.32,0
08:23.6,0.13,0.42,-0.68,-1,40.2,0.32,0
08:23.7,0.13,0.43,-0.67,-1,40.2,0.32,0
08:23.7,0.13,0.43,-0.67,-1,40,0.32,0
08:23.7,0.14,0.42,-0.68,-1,40.2,0.32,0
08:23.7,0.1,0.46,-0.71,-1,40.2,0.32,0
08:23.8,0.15,0.43,-0.68,-1,40.2,0.32,0
08:23.8,0.16,0.38,-0.65,-1,40,0.32,0
08:23.8,0.13,0.43,-0.67,-1,40,0.32,0
08:23.9,0.14,0.43,-0.67,-1,40.2,0.32,0
08:23.9,0.16,0.41,-0.68,-1,40,0.32,0
08:23.9,0.14,0.41,-0.67,-1,40,0.317,0
08:24.0,0.15,0.41,-0.68,-1,40.2,0.318,0
08:24.0,0.15,0.41,-0.67,-1,40.2,0.32,0
08:24.0,0.15,0.42,-0.68,-1,40,0.32,0
08:24.1,0.15,0.42,-0.68,-1,40,0.32,0
08:24.1,0.15,0.41,-0.68,-1,40,0.317,0
08:24.1,0.15,0.42,-0.68,-1,40,0.32,0
08:24.2,0.15,0.41,-0.67,-1,40,0.32,0
08:24.2,0.15,0.41,-0.67,-1,40,0.32,0
08:24.2,0.16,0.41,-0.67,-1,40,0.32,0
08:24.2,0.16,0.41,-0.67,-1,40,0.315,0
08:24.3,0.16,0.41,-0.69,-1,40,0.317,0
08:24.3,0.16,0.41,-0.69,-1,40,0.315,0
08:24.3,0.16,0.41,-0.67,-1,40,0.32,0
08:24.4,0.16,0.42,-0.67,-1,40.2,0.317,0
08:24.4,0.15,0.41,-0.67,-1,40.2,0.315,0
08:24.4,0.15,0.41,-0.68,-1,40,0.315,0
08:24.5,0.16,0.41,-0.67,-1,40,0.315,0
08:24.5,0.16,0.42,-0.68,-1,40,0.315,0
08:24.5,0.15,0.41,-0.67,-1,40,0.318,0
08:24.6,0.15,0.42,-0.68,-1,40,0.315,0
08:24.6,0.15,0.41,-0.68,-1,40,0.318,0
08:24.6,0.15,0.41,-0.68,-1,40,0.315,0
08:24.7,0.16,0.41,-0.67,-1,40,0.315,0
08:24.7,0.16,0.42,-0.67,-1,40,0.315,0
08:24.7,0.16,0.41,-0.68,-1,40,0.315,0
08:24.7,0.15,0.42,-0.67,-1,40,0.315,0
08:24.8,0.15,0.41,-0.68,-1,40,0.315,0
08:24.8,0.16,0.41,-0.68,-1,40,0.315,0
08:24.8,0.15,0.41,-0.68,-1,40,0.315,0
08:24.9,0.16,0.41,-0.68,-1,40,0.315,0
08:24.9,0.16,0.41,-0.68,-1,40,0.315,0
08:24.9,0.15,0.41,-0.68,-1,40,0.315,0
08:25.0,0.16,0.41,-0.68,-1,40,0.315,0
08:25.0,0.16,0.41,-0.68,-1,40,0.315,0
08:25.0,0.16,0.41,-0.67,-1,40,0.315,0
08:25.1,0.16,0.41,-0.68,-1,40,0.315,0
08:25.1,0.16,0.42,-0.68,-1,40,0.315,0
08:25.1,0.16,0.41,-0.67,-1,40,0.315,0
08:25.2,0.16,0.41,-0.68,-1,40,0.315,0
08:25.2,0.16,0.41,-0.68,-1,40,0.315,0
08:25.2,0.16,0.4,-0.68,-1,40,0.315,0
08:25.3,0.16,0.41,-0.69,-1,40,0.315,0
08:25.3,0.15,0.42,-0.68,-1,40,0.315,0
08:25.3,0.16,0.41,-0.68,-1,40,0.315,0
08:25.3,0.16,0.41,-0.67,-1,40,0.315,0
08:25.4,0.16,0.41,-0.67,-1,40,0.315,0
08:25.4,0.16,0.41,-0.68,-1,40,0.315,0
08:25.4,0.16,0.41,-0.67,-1,40,0.315,0
08:25.5,0.16,0.41,-0.68,-1,40,0.315,0
08:25.5,0.16,0.41,-0.68,-1,40,0.315,0
08:25.5,0.16,0.41,-0.68,-1,40,0.315,0
08:25.6,0.16,0.41,-0.68,-1,40,0.315,0
08:25.6,0.16,0.41,-0.68,-1,40,0.315,0
08:25.6,0.16,0.41,-0.68,-1,40,0.315,0
08:25.7,0.15,0.4,-0.68,-1,40,0.315,0
08:25.7,0.16,0.41,-0.68,-1,40,0.315,0
08:25.7,0.16,0.41,-0.68,-1,40,0.315,0
08:25.7,0.15,0.4,-0.67,-1,40,0.315,0
08:25.8,0.16,0.41,-0.68,-1,40,0.315,0
08:25.8,0.16,0.41,-0.67,-1,40,0.315,0
08:25.8,0.16,0.41,-0.68,-1,40,0.315,0
08:25.9,0.16,0.42,-0.68,-1,40,0.315,0
08:25.9,0.16,0.41,-0.68,-1,40,0.315,0
08:25.9,0.15,0.42,-0.67,-1,40,0.315,0
08:26.0,0.16,0.41,-0.67,-1,40,0.315,0
08:26.0,0.16,0.41,-0.68,-1,40,0.315,0
08:26.0,0.16,0.41,-0.67,-1,40,0.315,0
08:26.1,0.16,0.41,-0.68,-1,40,0.315,0
08:26.1,0.16,0.41,-0.68,-1,40,0.315,0
08:26.1,0.16,0.4,-0.68,-1,40,0.315,0
08:26.2,0.16,0.42,-0.68,-1,40,0.315,0
08:26.2,0.16,0.42,-0.68,-1,40,0.315,0
08:26.2,0.15,0.41,-0.68,-1,40,0.315,0
08:26.2,0.16,0.41,-0.68,-1,40,0.315,0
08:26.3,0.15,0.41,-0.68,-1,40,0.315,0
08:26.3,0.16,0.42,-0.67,-1,40,0.315,0
08:26.3,0.16,0.41,-0.68,-1,40,0.315,0
08:26.4,0.16,0.41,-0.68,-1,40,0.315,0
08:26.4,0.16,0.41,-0.68,-1,40,0.315,0
08:26.4,0.15,0.42,-0.68,-1,40,0.315,0
08:26.5,0.16,0.4,-0.67,-1,40,0.315,0
08:26.5,0.16,0.41,-0.68,-1,40,0.315,0
08:26.5,0.16,0.41,-0.67,-1,40,0.315,0
08:26.6,0.16,0.41,-0.67,-1,40,0.315,0
08:26.6,0.16,0.41,-0.68,-1,40,0.315,0
08:26.6,0.16,0.41,-0.68,-1,40,0.315,0
08:26.7,0.16,0.42,-0.68,-1,40,0.315,0
08:26.7,0.16,0.41,-0.67,-1,40,0.315,0
